order_date,region,category,product,units,unit_price
2024-05-01,East,C,P1,9,59.07
2024-09-02,South,B,P1,2,32.17
2024-04-02,South,C,P6,15,68.07
2024-02-26,East,A,P4,5,40.93
2024-10-18,North,A,P5,8,150.5
2024-06-22,West,C,P4,11,41.94
2024-07-25,East,A,P5,18,20.31
2024-01-21,East,A,P2,5,83.33
2024-08-21,North,A,P5,5,64.87
2024-04-25,South,C,P1,1,180.45
2024-12-20,North,B,P1,3,43.56
2024-08-14,West,A,P2,19,82.85
2024-09-02,North,A,P3,10,55.75
2024-09-25,West,A,P1,5,167.53
2024-06-05,East,C,P6,20,97.91
2024-11-03,North,A,P6,4,29.81
2024-10-05,East,A,P1,16,46.18
2024-08-17,East,B,P6,14,167.7
2024-03-07,East,B,P4,15,55.11
2024-07-14,West,A,P6,1,91.76
2024-06-08,West,C,P5,16,98.3
2024-03-21,North,C,P1,8,112.1
2024-06-07,West,C,P3,11,unknown
2024-08-06,North,C,P3,18,185.3
2024-05-18,North,C,P2,5,70.61
2024-03-18,North,A,P3,7,199.67
2024-08-03,West,A,P6,19,156.45
2024-07-19,East,B,P1,18,97.06
2024-03-14,East,B,P1,12,54.92
2024-04-15,North,A,P5,7,74.29
2024-02-10,North,B,P5,15,187.86
2024-10-09,West,B,P1,19,65.27
2024-09-13,North,C,P4,7,120.53
2024-07-03,East,B,P3,14,45.68
2024-04-03,South,C,P6,16,156.33
2024-07-18,North,C,P6,4,130.78
2024-08-18,North,B,P2,12,107.95
2024-12-11,North,B,P1,7,93.02
2024-12-12,East,A,P6,5,177.61
2024-12-07,East,C,P4,9,161.0
2024-09-16,South,C,P1,10,137.69
2024-08-06,East,A,P4,16,153.05
2024-02-23,West,A,P6,17,112.34
2024-01-06,South,A,P5,18,141.18
2024-10-05,East,C,P6,4,71.36
2024-07-03,West,B,P4,10,164.56
2024-07-06,North,C,P1,1,90.11
2024-11-19,West,C,P2,9,35.48
2024-08-20,South,B,P6,4,54.37
2024-09-02,North,A,P3,1,91.1
2024-08-05,North,A,P6,11,142.72
2024-11-26,North,A,P3,8,175.45
2024-03-08,North,A,P5,19,199.2
2024-03-11,West,B,P3,10,115.49
2024-12-08,South,B,P4,16,134.71
2024-12-14,South,C,P5,2,146.47
2024-01-07,South,B,P1,7,132.26
2024-11-22,West,B,P3,5,124.15
2024-05-19,North,B,P6,8,110.08
2024-05-15,West,A,P1,12,42.02
2024-09-01,North,C,P1,6,146.65
2024-09-27,North,A,P6,14,103.54
2024-05-04,East,B,P4,6,73.78
2024-11-24,West,B,P1,10,101.79
2024-10-08,East,C,P4,18,48.67
2024-06-01,South,C,P1,7,72.65
2024-12-27,West,B,P2,11,176.41
2024-06-21,North,C,P5,4,87.57
2024-05-18,North,C,P1,9,146.39
2024-06-23,North,B,P4,10,12.94
2024-03-04,South,C,P4,6,25.47
2024-03-12,West,A,P4,1,185.45
2024-06-11,North,A,P5,1,139.73
2024-03-11,West,B,P2,13,16.57
2024-11-19,East,C,P3,6,146.18
2024-04-12,East,A,P3,10,166.32
2024-09-10,East,C,P6,19,170.95
2024-04-17,East,A,P1,12,181.4
2024-12-11,North,A,P3,18,32.3
2024-01-04,South,B,P1,3,69.89
2024-11-12,West,C,P2,7,106.17
2024-10-09,South,C,P1,16,138.03
2024-11-23,South,C,P5,9,47.85
2024-10-03,South,A,P2,12,31.37
2024-05-25,North,C,P6,2,87.09
2024-06-26,West,A,P6,7,118.96
2024-01-25,North,A,P1,12,180.19
2024-10-01,North,B,P5,6,100.21
2024-10-05,West,A,P4,1,80.94
2024-08-05,North,A,P2,14,96.39
2024-11-08,South,B,P1,8,21.27
2024-01-07,East,B,P2,4,188.12
2024-02-25,West,C,P3,2,161.98
2024-01-06,East,C,P1,18,193.85
2024-10-05,North,A,P2,4,161.43
2024-12-01,South,B,P5,10,192.9
2024-07-17,South,B,P1,2,197.33
2024-04-14,South,C,P1,9,82.65
2024-09-20,North,A,P4,13,93.57
2024-07-04,North,B,P3,5,136.25
2024-04-16,West,C,P4,18,19.81
2024-02-23,West,A,P5,4,56.66
2024-12-19,East,B,P5,8,121.05
2024-01-26,South,C,P3,6,161.77
2024-03-06,East,B,P1,11,130.84
2024-02-24,East,A,P2,13,169.45
2024-11-07,North,B,P4,1,10.59
2024-01-18,East,A,P4,10,176.22
2024-10-20,South,C,P3,15,173.68
2024-09-11,South,A,P6,13,120.83
2024-03-09,South,B,P5,14,27.64
2024-12-22,South,C,P6,10,145.12
2024-08-10,North,C,P2,20,119.85
2024-09-26,East,C,P2,7,177.53
2024-07-15,West,A,P6,15,155.2
2024-07-10,East,C,P6,19,145.08
2024-10-05,East,C,P2,13,109.25
2024-09-09,East,B,P5,18,49.81
2024-11-22,North,A,P6,19,137.75
2024-06-19,North,A,P2,12,143.18
2024-01-24,West,C,P1,9,107.54
2024-01-26,North,A,P2,7,59.05
2024-11-01,East,C,P6,4,43.82
2024-08-18,West,A,P2,20,56.64
2024-11-13,East,B,P4,17,168.32
2024-11-25,West,A,P2,6,15.24
2024-09-27,East,C,P4,16,160.11
2024-07-17,West,B,P6,7,183.54
2024-06-16,West,A,P6,16,14.46
2024-02-16,North,A,P2,18,130.41
2024-07-20,West,C,P5,5,106.43
2024-06-07,East,A,P1,11,46.08
2024-02-06,North,C,P1,20,51.42
2024-02-14,East,A,P1,8,39.69
2024-04-21,East,C,P1,5,93.58
2024-06-11,East,B,P5,3,131.82
2024-04-18,North,C,P5,6,113.09
2024-02-23,West,B,P1,3,33.21
2024-02-15,South,C,P2,5,160.07
2024-05-26,South,A,P1,9,73.28
2024-09-14,East,C,P1,3,176.64
2024-10-24,South,B,P2,16,101.23
2024-07-12,North,C,P2,10,35.97
2024-11-25,East,C,P4,4,102.96
2024-06-24,North,A,P2,8,157.55
2024-01-15,North,A,P2,13,54.02
2024-01-25,South,B,P1,19,31.98
2024-02-15,North,C,P1,19,73.05
2024-03-23,East,B,P6,17,14.47
2024-09-12,South,B,P3,18,19.74
2024-05-03,North,A,P2,2,61.8
2024-04-25,South,A,P6,13,114.3
2024-11-02,West,A,P4,20,156.56
2024-09-16,East,C,P2,19,105.11
2024-10-23,North,C,P6,1,126.66
2024-07-07,North,B,P4,6,193.12
2024-06-23,South,B,P6,4,51.4
2024-03-11,South,A,P3,7,109.68
2024-10-27,West,A,P5,19,164.35
2024-12-23,North,C,P2,15,156.4
2024-06-05,East,C,P2,7,65.99
2024-10-12,West,B,P6,2,27.01
2024-11-17,East,A,P5,5,183.22
2024-05-16,South,A,P2,6,196.89
2024-06-18,East,A,P2,11,164.05
2024-03-08,West,B,P6,19,177.24
2024-11-24,East,B,P6,4,73.64
2024-11-26,East,B,P2,17,18.39
2024-04-02,West,B,P5,7,149.88
2024-07-06,South,A,P3,9,84.17
2024-08-15,East,B,P1,11,17.24
2024-12-19,North,A,P1,11,147.04
2024-05-14,East,C,P3,2,120.4
2024-01-12,East,A,P5,20,111.85
2024-04-17,East,A,P4,10,127.8
2024-09-03,North,C,P6,6,46.6
2024-03-20,North,C,P6,14,180.82
2024-11-16,East,C,P6,3,133.61
2024-09-24,East,B,P4,14,31.72
2024-11-18,South,A,P4,9,unknown
2024-06-11,North,C,P4,7,94.59
2024-08-06,South,B,P4,15,175.37
2024-09-18,South,C,P3,10,74.36
2024-02-09,South,C,P2,9,176.57
2024-02-09,North,C,P4,4,188.9
2024-07-27,East,B,P2,8,169.92
2024-11-11,West,B,P6,1,88.72
2024-06-20,South,A,P2,17,139.1
2024-03-18,South,B,P5,4,174.11
2024-03-22,East,B,P3,7,77.39
2024-07-16,South,C,P4,2,18.7
2024-02-25,North,C,P4,8,80.77
2024-03-19,North,B,P6,1,174.17
2024-04-15,South,B,P2,7,100.17
2024-05-27,West,B,P4,17,82.81
2024-11-06,East,A,P3,14,114.74
2024-04-23,North,C,P1,14,33.17
2024-08-19,West,C,P5,9,166.83
2024-02-01,West,A,P3,9,76.66
2024-12-19,East,B,P5,2,120.77
2024-05-01,North,B,P4,5,160.95
2024-07-04,South,B,P5,18,124.21
2024-12-13,East,A,P3,5,153.31
2024-04-27,North,A,P3,18,128.44
2024-07-21,North,B,P5,12,141.66
2024-05-12,East,A,P2,13,71.28
2024-09-17,East,C,P3,7,15.63
2024-11-12,South,A,P3,2,65.53
2024-02-26,South,C,P1,13,194.42
2024-08-10,North,A,P4,5,93.78
2024-05-04,South,C,P1,5,28.23
2024-10-07,South,A,P4,19,26.54
2024-04-09,South,C,P4,10,55.53
2024-01-15,West,C,P5,6,81.5
2024-08-09,East,A,P5,8,78.99
2024-11-26,West,B,P5,10,192.19
2024-04-02,South,C,P4,4,178.66
2024-10-23,North,B,P6,11,184.46
2024-02-20,South,B,P2,2,21.76
2024-10-23,North,A,P2,6,167.74
2024-12-11,East,C,P4,1,74.22
2024-12-08,West,B,P2,17,64.24
2024-03-19,South,B,P1,5,142.75
2024-11-02,West,A,P3,16,180.98
2024-09-24,North,C,P4,10,193.01
2024-10-10,West,B,P5,5,131.56
2024-05-24,North,A,P6,9,187.61
2024-02-09,East,C,P5,6,89.3
2024-05-21,West,A,P2,20,124.18
2024-04-10,South,C,P1,10,138.0
2024-04-06,East,A,P2,3,124.8
2024-05-08,North,C,P1,2,178.46
2024-04-23,South,B,P6,8,56.93
2024-09-24,South,C,P2,2,44.12
2024-03-15,East,B,P4,1,108.83
2024-04-04,North,C,P4,14,189.61
2024-11-07,North,A,P2,9,176.4
2024-05-12,West,C,P6,12,153.85
2024-04-14,West,B,P6,13,117.11
2024-09-08,North,C,P1,11,53.54
2024-03-03,South,C,P2,15,140.35
2024-10-11,North,C,P2,8,133.37
2024-02-05,South,A,P4,17,85.22
2024-01-03,South,A,P6,12,193.04
2024-06-08,South,A,P1,8,35.33
2024-10-07,East,B,P2,17,45.8
2024-03-18,South,C,P1,11,120.63
2024-12-17,East,A,P6,11,64.85
2024-12-10,West,C,P2,10,110.14
2024-10-01,East,A,P4,8,27.04
2024-01-15,South,A,P4,18,80.54
2024-10-15,East,A,P3,17,159.94
2024-08-24,East,C,P6,15,118.35
2024-03-27,South,B,P3,7,118.84
2024-01-20,South,C,P6,14,37.35
2024-10-13,East,A,P5,4,190.39
2024-03-12,East,C,P3,3,12.92
2024-11-27,West,C,P6,18,163.56
2024-06-13,South,C,P4,15,179.39
2024-01-02,East,C,P2,8,178.6
2024-12-12,North,C,P6,19,185.07
2024-10-09,South,A,P5,17,128.09
2024-07-20,North,B,P6,16,99.08
2024-12-02,East,A,P3,13,85.32
2024-08-23,West,A,P1,17,103.84
2024-12-02,South,B,P5,1,163.18
2024-06-15,South,C,P5,3,198.19
2024-06-21,North,A,P3,16,158.79
2024-03-08,East,A,P4,19,91.48
2024-04-14,North,B,P3,11,57.94
2024-01-24,South,A,P5,13,96.43
2024-07-22,North,A,P6,13,120.7
2024-01-26,North,C,P4,10,172.05
2024-08-22,East,A,P4,10,159.17
2024-11-24,West,A,P2,2,117.79
2024-08-08,West,B,P3,12,50.03
2024-02-14,West,B,P5,7,120.64
2024-02-03,East,B,P3,7,145.11
2024-07-16,East,C,P6,14,134.96
2024-09-09,South,A,P6,10,unknown
2024-02-19,South,A,P5,19,76.14
2024-02-07,West,A,P6,6,99.57
2024-06-26,West,B,P3,14,197.76
2024-07-12,East,A,P1,18,179.62
2024-02-26,East,A,P5,6,142.25
2024-09-21,North,A,P5,3,77.81
2024-12-17,West,B,P3,11,29.49
2024-05-24,East,B,P5,9,82.73
2024-05-17,North,B,P5,2,193.28
2024-10-24,North,A,P2,18,52.04
2024-02-27,West,C,P3,5,135.81
2024-03-12,South,B,P3,6,186.82
2024-02-22,South,B,P2,13,61.83
2024-08-11,East,C,P4,3,129.29
2024-08-10,North,A,P3,16,177.74
2024-01-03,East,B,P5,20,41.56
2024-07-23,East,A,P6,7,75.14
2024-07-14,West,A,P2,20,166.44
2024-04-08,West,C,P4,8,29.16
2024-05-23,East,B,P3,14,95.15
2024-12-18,North,C,P1,20,62.84
2024-03-07,South,C,P3,8,114.41
2024-05-19,East,B,P5,14,138.36
2024-03-21,North,C,P5,14,35.55
2024-08-14,East,C,P1,4,156.05
2024-11-01,West,B,P4,20,121.96
2024-01-24,South,B,P3,15,83.11
2024-06-24,South,A,P3,15,118.07
2024-02-23,West,A,P2,9,24.97
2024-09-16,East,B,P5,8,136.48
2024-03-13,North,B,P5,8,33.52
2024-08-23,South,B,P2,20,168.99
2024-01-10,North,B,P2,4,104.67
2024-05-05,South,B,P3,5,65.1
2024-05-08,West,A,P4,11,124.86
2024-01-20,East,B,P4,9,150.12
2024-03-17,North,A,P5,11,184.29
2024-12-05,North,C,P4,14,115.98
2024-05-24,East,A,P3,11,116.06
2024-11-21,South,B,P5,6,195.05
2024-12-25,North,A,P6,2,96.91
2024-10-15,East,B,P5,17,116.73
2024-06-03,South,A,P2,8,54.45
2024-09-23,South,A,P1,7,125.29
2024-01-08,North,B,P1,14,141.53
2024-05-22,East,C,P1,3,79.89
2024-12-05,North,B,P4,4,144.27
2024-02-23,South,C,P6,1,131.42
2024-08-19,East,A,P6,4,118.04
2024-01-02,East,B,P4,8,34.16
2024-01-21,South,B,P2,9,110.37
2024-03-10,East,B,P3,17,60.27
2024-10-01,South,B,P1,6,117.34
2024-09-06,North,A,P3,18,12.72
2024-03-10,East,C,P6,17,87.33
2024-05-23,North,B,P1,8,193.18
2024-12-10,North,B,P1,7,105.2
2024-03-27,South,A,P6,5,156.15
2024-11-06,South,A,P4,7,146.55
2024-04-22,East,A,P1,2,121.33
2024-03-15,North,A,P2,7,18.5
2024-09-22,South,A,P3,10,82.88
2024-06-13,North,A,P6,4,108.16
2024-06-13,West,C,P6,6,125.73
2024-04-06,East,B,P4,4,70.39
2024-06-16,West,C,P4,16,165.07
2024-05-12,North,A,P5,2,88.85
2024-07-15,North,C,P2,5,11.16
2024-06-02,East,C,P4,12,21.36
2024-02-25,North,A,P2,11,80.73
2024-11-14,North,B,P1,6,134.31
2024-03-27,North,C,P1,9,154.63
2024-07-20,East,A,P1,7,39.77
2024-02-18,West,B,P4,17,118.29
2024-04-12,East,A,P2,15,18.01
2024-09-17,South,C,P4,15,68.53
2024-05-14,North,A,P3,6,162.92
2024-12-14,North,A,P1,15,13.09
2024-10-04,South,C,P5,3,16.96
2024-05-14,South,C,P6,7,94.81
2024-04-10,East,A,P1,6,24.39
2024-06-08,West,C,P6,14,unknown
2024-07-21,South,B,P5,15,160.37
2024-06-09,West,A,P4,16,191.27
2024-08-03,North,C,P5,8,185.1
2024-03-05,North,A,P3,6,72.07
2024-11-22,West,C,P4,12,180.26
2024-03-26,South,B,P5,18,56.45
2024-09-14,North,B,P3,17,143.93
2024-10-19,North,A,P4,14,179.07
2024-09-13,South,A,P1,3,20.12
2024-12-26,East,C,P5,2,131.73
2024-08-04,North,C,P2,3,85.59
2024-10-01,North,C,P1,6,116.43
2024-12-10,North,B,P6,20,107.68
2024-07-18,North,B,P4,17,63.26
2024-11-22,South,C,P4,18,11.65
2024-02-02,North,A,P3,8,31.93
2024-04-25,North,A,P4,12,49.59
2024-11-15,North,A,P5,19,113.46
2024-06-27,North,A,P5,7,99.08
2024-01-21,South,A,P3,4,unknown
2024-11-27,West,C,P5,18,92.45
2024-01-11,West,C,P1,6,unknown
2024-07-13,North,A,P6,2,60.74
2024-09-09,East,A,P6,6,56.55
2024-10-06,North,A,P2,11,131.69
2024-10-04,North,B,P2,15,170.66
2024-10-23,East,A,P5,14,78.2
2024-04-07,East,A,P6,15,57.63
2024-05-16,East,B,P3,6,37.69
2024-12-03,South,B,P5,10,71.62
2024-11-07,North,A,P1,11,109.99
2024-04-18,East,C,P2,12,166.0
2024-06-10,North,A,P6,3,124.46
2024-08-04,North,C,P6,17,86.52
2024-10-04,North,B,P1,3,164.03
2024-07-05,South,A,P1,6,61.47
2024-01-20,West,B,P3,18,89.02
2024-02-03,East,B,P6,9,31.42
2024-03-19,West,C,P6,15,173.72
2024-10-08,South,A,P6,5,102.49
2024-07-06,East,C,P6,13,60.25
2024-06-05,West,B,P4,3,122.27
2024-01-24,East,A,P1,14,163.75
2024-05-22,South,A,P1,15,76.19
2024-11-24,North,C,P4,3,96.6
2024-03-07,North,B,P3,11,129.25
2024-12-04,West,C,P1,13,188.24
2024-03-03,West,C,P6,1,59.24
2024-05-09,East,C,P6,9,170.37
2024-09-07,South,B,P3,3,21.4
2024-05-09,North,A,P1,8,92.15
2024-08-14,East,C,P5,19,33.53
2024-08-23,North,A,P3,20,73.79
2024-12-26,North,B,P1,7,89.96
2024-12-24,West,A,P6,2,81.14
2024-01-09,North,A,P1,20,97.35
2024-08-10,West,A,P2,8,138.08
2024-06-17,East,C,P4,12,62.65
2024-06-17,North,A,P6,10,113.09
2024-05-22,East,A,P6,9,60.3
2024-01-10,North,C,P2,14,107.35
2024-06-13,West,B,P1,20,94.75
2024-04-26,North,A,P6,11,120.6
2024-08-19,North,C,P1,14,unknown
2024-09-03,South,A,P2,8,95.85
2024-06-20,West,B,P3,17,193.81
2024-10-03,North,C,P1,7,70.12
2024-10-04,South,C,P1,13,73.27
2024-07-14,South,C,P6,5,122.84
2024-03-01,South,A,P6,7,149.8
2024-12-14,South,B,P3,13,31.44
2024-05-13,South,C,P6,1,161.66
2024-09-01,East,A,P1,9,113.87
2024-03-03,West,B,P5,5,174.92
2024-04-09,West,C,P2,2,26.86
2024-06-04,South,C,P4,11,35.86
2024-10-10,East,B,P3,2,136.44
2024-08-23,South,B,P6,15,103.35
2024-02-04,North,A,P5,1,138.54
2024-03-09,West,C,P2,16,97.53
2024-11-23,East,B,P4,12,167.73
2024-03-08,West,C,P5,14,102.81
2024-12-01,South,C,P4,6,126.75
2024-05-14,East,B,P4,16,66.68
2024-05-26,South,C,P1,4,153.48
2024-11-13,South,B,P3,13,127.95
2024-11-24,East,C,P1,17,51.98
2024-06-14,West,C,P1,2,159.53
2024-12-15,North,A,P6,17,41.75
2024-05-24,South,C,P6,18,128.19
2024-08-01,West,A,P5,6,83.78
2024-08-09,North,C,P6,3,156.69
2024-02-26,East,A,P6,5,52.44
2024-01-06,East,B,P5,11,23.57
2024-07-24,North,C,P2,3,56.29
2024-03-18,East,B,P3,15,173.35
2024-08-02,South,B,P4,16,182.24
2024-01-05,South,A,P4,7,114.33
2024-08-22,East,B,P3,12,83.78
2024-04-14,North,B,P2,12,19.33
2024-08-03,North,B,P2,3,133.59
2024-08-17,North,B,P2,4,23.1
2024-04-06,South,A,P3,17,93.68
2024-10-01,East,A,P1,19,195.98
2024-05-12,West,A,P2,1,141.48
2024-01-18,West,A,P3,12,68.56
2024-11-15,South,B,P4,2,16.7
2024-12-14,South,C,P3,15,52.01
2024-07-18,North,A,P1,15,28.88
2024-07-25,East,C,P4,6,16.57
2024-05-05,East,B,P3,7,161.0
2024-08-18,West,C,P1,4,156.75
2024-02-08,East,C,P1,12,154.18
2024-06-17,North,A,P6,15,123.3
2024-05-21,North,B,P3,16,130.14
2024-12-10,West,C,P1,4,157.25
2024-02-08,South,A,P3,6,123.22
2024-04-02,North,B,P4,9,145.32
2024-04-27,North,C,P3,15,57.93
2024-06-18,North,C,P5,4,60.47
2024-10-21,North,A,P1,5,24.62
2024-07-01,North,B,P6,4,98.45
2024-12-21,West,B,P6,9,100.3
2024-05-03,East,A,P5,6,189.29
2024-05-03,North,B,P4,9,169.21
2024-02-24,South,C,P1,9,40.19
2024-06-26,North,C,P4,9,178.51
2024-02-21,South,B,P2,19,40.29
2024-07-15,South,B,P5,17,46.91
2024-07-25,West,A,P6,2,78.13
2024-10-09,West,B,P3,12,100.53
2024-10-17,South,A,P3,3,144.48
2024-05-22,West,B,P1,14,145.2
2024-05-07,North,C,P5,4,146.11
2024-03-16,North,C,P5,5,125.89
2024-01-15,West,B,P1,8,135.12
2024-06-24,South,B,P5,9,18.1
2024-08-07,East,C,P1,2,133.86
2024-05-07,East,A,P5,10,123.59
2024-04-12,South,B,P5,9,140.67
2024-07-10,South,C,P4,2,80.23
2024-11-13,West,C,P6,11,125.11
2024-06-14,North,C,P4,5,73.42
2024-05-20,South,C,P4,1,179.85
2024-02-09,West,B,P1,15,183.7
2024-08-24,North,B,P6,3,160.63
2024-06-17,East,B,P4,6,180.69
2024-10-02,North,C,P4,4,101.11
2024-07-11,North,A,P3,15,190.67
2024-02-11,North,C,P2,4,41.37
2024-11-26,North,A,P2,15,166.82
2024-08-11,South,B,P6,14,164.62
2024-11-12,South,C,P5,5,66.16
2024-02-13,South,A,P1,13,170.85
2024-11-23,East,A,P3,19,189.26
2024-11-17,East,B,P2,9,76.6
2024-12-01,North,C,P5,9,13.34
2024-04-02,South,C,P3,8,130.62
2024-06-27,North,B,P2,3,136.45
2024-12-11,North,C,P4,8,147.52
2024-05-15,North,A,P5,20,132.88
2024-07-19,East,B,P6,5,unknown
2024-02-18,South,A,P1,11,16.63
2024-12-23,West,B,P1,6,76.48
2024-12-10,West,A,P5,9,199.21
2024-04-15,South,A,P5,16,90.39
2024-05-01,South,A,P2,17,35.55
2024-04-07,North,A,P3,2,124.47
2024-09-11,South,B,P6,10,195.7
2024-01-26,North,B,P5,7,151.84
2024-06-05,East,C,P4,18,unknown
2024-07-27,East,B,P4,4,74.69
2024-03-01,South,B,P1,4,152.26
2024-08-03,South,A,P3,7,45.12
2024-08-21,West,C,P1,12,165.01
2024-10-09,West,C,P2,19,184.93
2024-07-26,East,A,P2,11,26.64
2024-04-05,East,A,P6,15,31.79
2024-05-18,West,C,P6,11,49.03
2024-05-27,South,B,P3,14,148.63
2024-08-16,East,A,P5,12,131.13
2024-12-13,West,C,P5,10,188.56
2024-02-13,South,C,P2,14,68.83
2024-05-14,North,B,P6,4,14.55
2024-01-26,East,A,P5,10,195.15
2024-05-19,East,C,P4,11,149.11
2024-07-21,East,B,P2,5,80.75
2024-02-03,South,C,P6,20,152.94
2024-01-20,West,C,P2,1,15.18
2024-03-15,West,A,P2,2,71.51
2024-07-19,West,B,P4,11,81.16
2024-12-05,South,A,P6,10,unknown
2024-08-27,North,A,P4,12,29.35
2024-04-16,East,C,P1,7,58.95
2024-06-19,North,A,P3,13,129.16
2024-12-18,East,C,P3,10,12.4
2024-03-23,West,B,P6,1,64.57
2024-01-01,South,A,P4,3,115.5
2024-08-05,West,B,P6,8,159.49
2024-01-21,East,C,P5,13,15.55
2024-10-01,East,C,P5,11,65.8
2024-05-03,East,C,P4,10,13.12
2024-03-03,North,A,P4,12,77.02
2024-10-16,North,B,P4,13,188.58
2024-03-16,South,C,P1,8,171.45
2024-12-05,South,C,P1,11,130.27
2024-07-20,North,A,P2,20,40.66
2024-11-02,South,C,P4,2,105.92
2024-03-14,East,C,P5,16,31.65
2024-01-01,West,A,P5,10,146.39
2024-04-21,South,A,P6,9,53.47
2024-07-02,South,B,P1,19,72.64
2024-07-03,South,A,P6,1,127.78
2024-01-16,North,B,P2,3,94.19
2024-08-22,South,A,P6,2,28.26
2024-05-16,North,A,P4,5,183.26
2024-04-12,West,B,P5,17,67.0
2024-06-13,East,C,P3,8,157.22
2024-05-03,North,B,P4,11,130.66
2024-12-02,North,C,P6,3,107.95
2024-11-23,North,C,P2,11,98.17
2024-12-04,West,C,P2,20,150.37
2024-08-22,South,B,P3,20,33.66
2024-08-16,East,C,P2,15,85.24
2024-06-21,North,B,P1,2,76.99
2024-02-26,East,A,P5,9,79.08
2024-08-07,North,B,P2,16,61.61
2024-09-19,North,C,P3,18,27.94
2024-12-16,South,B,P2,11,24.53
2024-02-14,North,B,P4,13,107.36
2024-03-18,South,C,P6,5,182.74
2024-04-22,West,B,P3,1,85.51
2024-03-01,South,B,P2,17,153.11
2024-12-06,South,A,P5,14,11.64
2024-08-25,West,C,P3,16,170.89
2024-12-26,North,A,P5,3,176.51
2024-12-19,East,A,P5,16,46.79
2024-10-02,North,C,P4,18,27.47
2024-11-16,South,A,P1,11,74.84
2024-12-20,South,A,P4,12,28.12
2024-03-20,West,A,P1,16,168.42
2024-04-17,West,A,P4,14,135.63
2024-03-18,North,A,P2,12,137.28
2024-08-26,North,A,P2,5,43.38
2024-08-24,East,A,P2,6,93.84
2024-10-13,South,B,P4,9,99.64
2024-08-01,South,A,P5,7,109.72
2024-06-05,West,A,P4,11,151.22
2024-12-20,North,C,P6,3,87.13
2024-06-20,North,B,P1,9,131.84
2024-05-19,West,B,P3,19,57.96
2024-03-12,West,A,P1,3,64.71
2024-07-25,South,C,P3,3,148.32
2024-03-10,North,B,P2,14,128.39
2024-07-13,South,C,P1,10,100.66
2024-08-20,West,C,P4,5,95.76
2024-02-19,East,C,P6,3,25.07
2024-01-14,North,A,P1,17,98.6
2024-08-15,East,A,P2,15,28.25
2024-12-22,East,C,P5,9,107.61
2024-10-24,North,C,P2,12,145.52
2024-01-16,East,C,P3,9,32.3
2024-06-06,West,A,P5,10,26.48
2024-10-11,West,B,P1,18,unknown
2024-08-21,South,B,P3,8,83.82
2024-03-15,South,B,P3,3,77.36
2024-04-11,East,A,P2,4,171.8
2024-12-11,East,C,P1,18,126.19
2024-07-06,West,B,P1,11,88.34
2024-07-07,West,B,P5,14,69.35
2024-11-26,South,B,P6,20,194.75
2024-01-17,West,A,P5,12,128.59
2024-02-26,South,A,P4,7,144.3
2024-11-27,North,A,P2,14,14.42
2024-05-01,North,C,P5,3,63.17
2024-08-20,North,C,P1,3,19.77
2024-08-17,South,C,P1,8,124.52
2024-01-18,South,A,P1,16,57.34
2024-07-16,North,A,P5,18,126.11
2024-07-04,West,B,P2,4,82.21
2024-06-02,West,A,P1,6,199.88
2024-04-06,North,B,P2,1,161.83
2024-10-21,North,C,P6,20,167.97
2024-08-19,East,A,P3,8,166.14
2024-05-26,West,A,P1,16,97.7
2024-06-19,South,C,P1,14,114.46
2024-01-21,West,B,P2,9,50.86
