created_date,category,priority,resolution_hours,satisfied
2024-10-08,billing,medium,7.5,yes
2024-05-13,account,low,12.2,yes
2024-11-11,billing,medium,8.4,no
2024-05-19,technical,medium,51.7,yes
2024-09-25,billing,low,9.5,yes
2024-08-14,billing,high,7.1,no
2024-03-04,billing,medium,9.1,yes
2024-12-24,other,low,5.9,yes
2024-03-15,technical,low,47.8,yes
2024-11-11,technical,high,52.4,yes
2024-01-27,account,low,11.7,no
2024-10-12,technical,medium,47.7,no
2024-11-04,billing,medium,10.8,yes
2024-06-19,billing,medium,8.8,yes
2024-09-04,account,medium,8.7,yes
2024-07-18,technical,high,39.0,yes
2024-11-25,billing,low,6.2,yes
2024-12-11,other,medium,7.5,yes
2024-02-22,billing,low,8.4,yes
2024-08-26,account,low,13.0,yes
2024-05-11,billing,medium,11.6,yes
2024-01-03,account,low,14.3,yes
2024-12-16,technical,low,41.5,no
2024-02-24,billing,medium,4.4,yes
2024-06-23,account,low,10.4,yes
2024-06-05,billing,medium,6.6,yes
2024-08-09,technical,low,38.1,yes
2024-06-15,account,low,8.3,no
2024-06-26,other,low,6.9,yes
2024-08-07,technical,medium,52.5,yes
2024-01-27,account,medium,10.9,yes
2024-04-27,technical,low,25.3,yes
2024-09-14,account,low,12.3,no
2024-09-20,billing,medium,7.5,yes
2024-03-15,other,low,7.5,yes
2024-12-15,billing,low,7.9,no
2024-10-13,account,low,9.8,yes
2024-01-17,billing,medium,5.2,yes
2024-04-17,billing,low,8.0,yes
2024-06-23,other,medium,2.5,no
2024-11-18,account,medium,8.7,yes
2024-01-19,billing,medium,9.4,no
2024-11-06,billing,high,7.7,yes
2024-03-22,billing,low,7.9,yes
2024-04-19,other,medium,5.6,yes
2024-03-04,account,low,7.8,yes
2024-06-04,account,medium,10.8,no
2024-09-11,account,low,13.4,yes
2024-03-22,account,medium,13.5,yes
2024-02-12,billing,low,5.9,yes
2024-07-07,billing,medium,8.1,yes
2024-09-25,billing,medium,9.8,yes
2024-03-23,technical,low,42.4,yes
2024-08-02,account,medium,16.5,yes
2024-06-24,technical,medium,40.0,yes
2024-06-08,billing,high,4.7,yes
2024-09-10,technical,medium,39.8,no
2024-10-21,other,high,6.2,yes
2024-09-07,technical,medium,46.6,yes
2024-08-12,technical,low,45.0,no
2024-05-15,billing,high,11.0,yes
2024-06-27,account,low,13.8,no
2024-03-15,billing,low,8.4,no
2024-03-16,account,low,10.4,yes
2024-10-26,billing,low,7.5,yes
2024-01-21,account,high,15.9,no
2024-10-03,technical,low,59.0,no
2024-09-09,account,medium,13.1,yes
2024-11-26,technical,low,42.0,yes
2024-06-21,other,medium,5.7,yes
2024-11-17,technical,medium,42.4,yes
2024-08-04,billing,medium,8.1,yes
2024-09-07,other,low,5.3,no
2024-04-19,account,medium,14.7,no
2024-10-12,account,high,8.7,no
2024-11-03,account,medium,12.5,yes
2024-11-23,billing,medium,8.3,yes
2024-07-22,other,medium,7.0,no
2024-08-20,billing,low,7.7,yes
2024-02-27,billing,low,6.1,yes
2024-03-01,billing,high,7.8,no
2024-06-04,technical,low,29.8,yes
2024-03-20,billing,low,7.3,yes
2024-03-17,billing,low,6.5,yes
2024-06-26,technical,low,64.1,no
2024-04-11,billing,high,3.7,yes
2024-04-19,technical,low,28.0,no
2024-05-07,account,medium,15.7,yes
2024-12-22,billing,high,7.6,yes
2024-09-08,other,low,3.9,yes
2024-10-01,account,low,13.9,yes
2024-02-14,account,medium,18.3,yes
2024-03-20,account,low,12.1,no
2024-03-03,other,low,7.3,yes
2024-05-05,billing,low,5.3,yes
2024-02-14,billing,low,6.8,yes
2024-01-12,account,low,12.6,no
2024-10-21,billing,low,8.4,no
2024-06-02,technical,low,33.3,yes
2024-01-14,technical,medium,34.2,yes
2024-06-08,other,medium,5.1,yes
2024-06-10,billing,high,6.4,no
2024-07-04,billing,medium,6.9,yes
2024-08-06,account,low,10.3,yes
2024-03-09,billing,low,8.9,no
2024-05-27,billing,medium,5.2,no
2024-12-07,billing,medium,9.0,yes
2024-11-25,billing,low,11.5,yes
2024-09-08,technical,medium,41.6,yes
2024-05-20,billing,medium,7.1,no
2024-06-17,technical,medium,30.7,yes
2024-10-16,account,low,10.4,yes
2024-12-01,technical,low,27.9,yes
2024-07-17,technical,medium,42.5,no
2024-09-18,other,low,5.8,yes
2024-08-11,billing,medium,9.5,yes
2024-03-16,technical,medium,42.7,yes
2024-04-24,account,medium,14.4,yes
2024-01-13,technical,medium,55.1,yes
2024-11-02,billing,low,10.0,yes
2024-07-22,billing,high,13.5,yes
2024-12-14,billing,medium,10.3,yes
2024-10-18,technical,low,35.9,yes
2024-03-23,other,medium,7.0,yes
2024-06-07,billing,low,9.6,yes
2024-03-20,other,low,6.3,no
2024-01-22,account,low,14.4,yes
2024-01-15,billing,low,9.3,no
2024-05-21,technical,low,54.0,yes
2024-11-14,billing,low,7.9,yes
2024-05-22,other,low,4.7,yes
2024-04-27,technical,low,36.5,yes
2024-04-10,billing,low,4.3,yes
2024-06-11,account,low,4.2,no
2024-09-09,other,medium,4.5,yes
2024-11-21,account,low,10.6,yes
2024-11-17,other,high,5.0,no
2024-02-12,billing,medium,10.4,no
2024-01-24,technical,low,29.4,no
2024-10-17,technical,low,28.1,yes
2024-11-25,technical,high,60.1,no
2024-05-01,billing,medium,5.0,no
2024-10-22,account,medium,14.4,no
2024-05-27,technical,low,39.2,yes
2024-06-08,billing,low,2.9,no
2024-11-19,account,low,15.0,yes
2024-03-21,billing,low,7.4,yes
2024-06-27,billing,high,8.8,yes
2024-04-05,other,low,6.4,yes
2024-02-09,billing,high,8.7,no
2024-10-01,billing,high,9.9,no
2024-05-04,other,medium,9.3,yes
2024-07-18,other,medium,6.5,yes
2024-09-06,other,high,5.8,yes
2024-08-22,billing,low,9.9,no
2024-01-14,account,low,13.5,yes
2024-05-17,billing,high,3.0,yes
2024-09-11,technical,medium,44.9,yes
2024-10-16,other,medium,5.5,yes
2024-12-20,account,medium,11.4,no
2024-12-12,billing,medium,5.2,yes
2024-07-18,technical,low,59.4,yes
2024-10-13,billing,low,9.1,yes
2024-08-10,account,low,10.7,yes
2024-10-19,billing,high,7.2,no
2024-11-09,billing,high,7.7,yes
2024-07-04,billing,medium,7.8,yes
2024-05-12,technical,low,48.1,yes
2024-10-06,other,low,6.6,no
2024-01-10,billing,low,7.0,yes
2024-10-06,account,low,11.3,yes
2024-07-18,technical,medium,46.3,yes
2024-07-03,other,low,4.6,yes
2024-05-03,technical,medium,36.1,yes
2024-10-19,billing,low,10.0,yes
2024-09-15,technical,low,40.3,no
2024-06-20,account,medium,16.4,yes
2024-09-18,account,medium,8.7,no
2024-02-19,technical,low,35.9,yes
2024-04-03,billing,medium,6.5,no
2024-08-20,account,medium,9.5,yes
2024-12-18,billing,medium,9.6,no
2024-10-09,account,low,15.3,yes
2024-05-01,billing,low,8.3,yes
2024-01-27,account,medium,11.8,no
2024-10-05,billing,high,11.7,no
2024-12-01,billing,medium,11.4,no
2024-05-06,billing,low,4.0,no
2024-07-09,billing,low,8.0,yes
2024-01-05,other,low,3.1,yes
2024-03-08,other,low,3.8,no
2024-08-07,billing,low,6.8,yes
2024-07-19,technical,medium,29.3,yes
2024-07-25,other,low,7.0,no
2024-03-17,account,medium,11.0,yes
2024-05-14,billing,low,7.7,yes
2024-09-06,account,medium,12.0,yes
2024-02-24,account,low,17.4,yes
2024-12-16,other,high,6.6,yes
2024-03-24,technical,high,49.9,yes
2024-12-19,technical,low,46.0,yes
2024-02-05,billing,medium,10.6,no
2024-10-21,technical,medium,41.3,no
2024-07-04,billing,low,8.0,yes
2024-11-08,billing,low,10.7,yes
2024-11-22,technical,medium,42.5,yes
2024-08-12,billing,medium,5.0,no
2024-11-16,technical,medium,28.2,yes
2024-08-02,billing,low,7.3,yes
2024-05-14,technical,low,45.8,yes
2024-11-04,billing,high,6.6,no
2024-10-25,account,low,16.7,yes
2024-09-08,other,low,6.7,no
2024-03-23,account,medium,11.5,no
2024-04-24,other,medium,4.3,no
2024-12-22,other,medium,7.2,yes
2024-06-22,technical,low,pending,no
2024-06-15,account,low,8.7,yes
2024-04-27,billing,medium,10.8,yes
2024-05-16,technical,low,52.9,no
2024-07-16,other,low,8.3,yes
2024-07-04,account,low,12.1,yes
2024-01-16,other,medium,7.5,yes
2024-01-16,billing,low,4.0,yes
2024-04-10,billing,low,9.0,no
2024-07-10,billing,high,7.3,no
2024-06-20,billing,medium,7.9,yes
2024-07-26,technical,medium,45.0,yes
2024-05-26,account,low,10.0,yes
2024-11-27,billing,high,7.7,yes
2024-06-09,other,high,4.6,yes
2024-11-14,billing,medium,6.5,yes
2024-06-17,billing,low,5.8,yes
2024-04-22,account,medium,13.1,yes
2024-02-26,billing,low,10.6,yes
2024-02-05,technical,medium,30.7,yes
2024-11-05,account,high,7.3,yes
2024-07-02,technical,low,pending,yes
2024-06-19,billing,high,8.8,yes
2024-08-19,account,low,12.8,no
2024-10-05,technical,low,28.5,yes
2024-01-23,technical,high,40.1,yes
2024-11-20,billing,low,6.3,yes
2024-12-02,other,medium,5.4,no
2024-12-18,billing,low,7.8,yes
2024-04-05,billing,low,7.2,no
2024-03-02,account,low,13.4,yes
2024-02-06,billing,low,7.0,yes
2024-09-07,account,low,16.5,yes
2024-01-11,account,medium,12.4,yes
2024-06-02,technical,medium,28.8,yes
2024-05-06,account,low,14.9,yes
2024-12-18,account,medium,14.6,yes
2024-02-14,account,low,12.8,yes
2024-10-23,technical,low,40.0,yes
2024-10-12,technical,low,43.4,no
2024-02-15,other,medium,7.3,yes
2024-06-06,account,low,11.6,yes
2024-09-07,billing,low,9.7,yes
2024-06-20,other,low,5.2,yes
2024-10-01,technical,high,45.0,yes
2024-06-18,technical,high,30.2,yes
2024-09-01,technical,low,43.5,yes
2024-08-20,technical,low,45.7,yes
2024-08-24,technical,medium,34.7,yes
2024-05-01,other,medium,6.6,yes
2024-11-17,account,medium,6.5,yes
2024-07-06,billing,low,7.8,yes
2024-03-20,billing,medium,7.5,no
2024-12-17,billing,medium,9.3,yes
2024-02-26,other,medium,6.0,yes
2024-06-22,technical,low,50.2,yes
2024-01-14,technical,low,58.9,yes
2024-08-08,other,medium,6.2,no
2024-06-05,account,low,14.6,yes
2024-03-26,billing,medium,11.3,no
2024-06-16,billing,low,9.9,no
2024-03-10,technical,low,51.0,yes
2024-12-09,technical,medium,38.2,no
2024-04-03,billing,low,8.8,yes
2024-11-14,technical,low,30.4,no
2024-09-25,other,medium,7.3,no
2024-04-24,account,medium,13.4,yes
2024-04-27,billing,medium,8.9,yes
2024-09-09,account,low,6.7,yes
2024-07-04,billing,medium,10.1,yes
2024-09-22,other,low,8.3,no
2024-12-24,technical,high,54.4,yes
2024-04-07,other,low,6.8,yes
2024-02-07,account,low,16.2,yes
2024-12-15,other,low,pending,yes
2024-10-01,technical,medium,34.4,yes
2024-02-21,technical,medium,40.4,yes
2024-12-20,billing,low,6.8,yes
2024-06-24,account,medium,17.4,yes
2024-11-21,billing,low,3.3,yes
2024-12-13,billing,low,8.6,no
2024-08-25,technical,medium,32.4,yes
2024-06-14,account,medium,10.6,no
2024-11-16,billing,low,9.5,yes
2024-12-26,technical,low,40.0,no
2024-06-03,billing,low,10.3,no
2024-07-13,billing,low,7.8,no
2024-01-20,technical,medium,39.4,no
2024-04-26,account,low,12.5,yes
2024-08-05,technical,low,52.7,yes
2024-01-20,technical,medium,33.8,yes
2024-12-25,account,high,pending,yes
2024-07-16,technical,medium,35.0,yes
2024-09-02,other,low,5.4,yes
2024-02-10,technical,low,28.3,no
2024-04-16,account,medium,11.2,yes
2024-06-11,technical,low,44.6,yes
2024-07-17,technical,medium,54.0,yes
2024-02-06,technical,medium,44.8,yes
2024-12-22,account,medium,10.4,yes
2024-08-09,technical,high,54.3,no
2024-09-03,other,medium,3.5,yes
2024-08-12,account,low,13.5,no
2024-04-04,account,low,8.5,no
2024-06-23,billing,low,7.8,yes
2024-05-01,other,low,4.1,yes
2024-07-02,technical,low,25.3,yes
2024-06-11,billing,low,6.9,yes
2024-07-18,account,medium,17.2,yes
2024-03-17,billing,low,8.7,no
2024-11-13,billing,low,9.8,yes
2024-09-08,other,low,5.5,no
2024-01-16,billing,medium,8.1,yes
2024-04-16,billing,medium,6.5,yes
2024-07-08,technical,medium,34.5,yes
2024-07-09,billing,medium,7.4,yes
2024-05-08,technical,high,49.4,yes
2024-07-10,billing,low,8.7,yes
2024-03-24,billing,low,6.6,yes
2024-05-18,billing,medium,7.7,yes
2024-10-24,account,low,9.5,no
2024-12-08,other,low,6.8,yes
2024-01-03,technical,low,42.8,yes
2024-12-02,other,medium,6.4,yes
2024-10-17,technical,low,47.1,yes
2024-04-17,billing,low,9.2,yes
2024-06-19,technical,low,54.5,yes
2024-01-23,technical,low,33.1,no
2024-03-12,account,medium,14.3,no
2024-01-17,technical,low,38.7,yes
2024-12-22,account,low,14.8,yes
2024-08-11,billing,low,7.1,no
2024-03-03,billing,medium,4.9,yes
2024-04-08,technical,high,36.4,no
2024-08-06,billing,low,6.9,yes
2024-01-08,billing,low,6.0,yes
2024-03-06,billing,low,7.4,yes
2024-06-14,account,low,15.5,yes
2024-11-08,technical,medium,37.2,yes
2024-08-16,billing,low,9.4,yes
2024-07-11,billing,medium,10.8,yes
2024-04-04,other,medium,7.6,no
2024-12-03,account,high,13.5,yes
2024-11-01,account,medium,14.8,yes
2024-07-23,billing,low,7.3,no
2024-09-02,billing,low,5.6,no
2024-10-13,billing,low,pending,yes
2024-08-24,billing,low,9.9,no
2024-09-27,billing,medium,10.7,yes
2024-01-05,other,medium,5.6,yes
2024-11-17,technical,medium,40.7,yes
2024-03-18,account,high,5.4,yes
2024-08-12,other,low,7.1,yes
2024-02-19,technical,low,39.4,yes
2024-08-23,account,medium,6.7,yes
2024-10-24,technical,low,45.3,yes
2024-09-01,technical,medium,46.3,yes
2024-10-13,account,high,14.6,no
2024-12-17,billing,medium,7.9,yes
2024-08-23,billing,medium,8.6,no
2024-10-05,technical,high,32.0,yes
2024-06-27,billing,medium,10.8,yes
2024-09-27,billing,low,7.5,yes
2024-06-01,technical,low,52.8,yes
2024-05-21,account,high,13.7,no
2024-07-11,billing,high,7.7,no
2024-03-14,billing,low,10.7,yes
2024-08-27,technical,low,34.3,no
2024-07-04,billing,low,8.9,yes
2024-01-23,billing,medium,8.4,yes
2024-01-02,billing,low,7.9,yes
2024-04-05,account,high,12.8,no
2024-05-19,technical,low,47.7,yes
2024-11-05,account,low,11.1,no
2024-09-01,technical,medium,36.0,no
2024-01-21,account,low,11.7,no
2024-05-14,account,medium,10.6,no
2024-02-23,technical,low,31.2,yes
2024-01-13,technical,high,43.4,yes
2024-07-15,account,low,pending,no
2024-07-16,billing,medium,7.9,yes
2024-05-08,technical,medium,35.8,no
2024-05-19,billing,medium,8.4,yes
2024-07-08,account,medium,13.4,yes
2024-10-03,technical,medium,42.6,yes
2024-12-18,account,low,12.0,yes
2024-03-10,billing,low,10.6,yes
2024-10-20,other,low,5.3,yes
2024-04-11,billing,low,5.7,yes
2024-04-21,billing,medium,7.6,yes
2024-07-18,billing,medium,9.4,yes
2024-06-10,billing,low,11.5,yes
2024-06-14,technical,high,60.5,yes
2024-07-01,billing,high,8.8,yes
2024-03-07,account,high,15.5,no
2024-12-24,account,high,16.9,yes
2024-04-17,account,low,10.8,no
2024-03-15,account,low,16.5,no
2024-08-23,billing,low,9.0,no
2024-11-16,billing,medium,7.9,yes
2024-12-19,other,high,6.9,no
2024-08-08,other,medium,7.1,yes
2024-06-09,other,low,3.2,no
2024-01-08,other,low,6.2,yes
2024-04-21,technical,low,42.7,yes
2024-08-18,billing,low,6.7,yes
2024-02-09,billing,low,8.4,yes
2024-03-24,technical,medium,36.6,yes
2024-07-10,billing,low,6.5,yes
2024-02-12,technical,low,39.2,no
2024-02-26,billing,medium,4.2,yes
2024-10-12,billing,low,8.9,no
2024-01-21,billing,low,9.1,yes
2024-06-11,technical,medium,43.3,no
2024-01-09,billing,low,9.1,no
2024-12-02,technical,low,36.1,yes
2024-03-10,other,medium,5.2,yes
2024-12-13,technical,low,23.1,no
2024-04-04,other,medium,3.5,no
2024-06-20,billing,high,6.6,yes
2024-11-20,billing,low,9.8,no
2024-06-12,billing,high,8.0,no
2024-10-16,other,high,8.0,yes
2024-03-03,technical,low,47.6,yes
2024-05-24,billing,medium,6.0,yes
2024-02-10,billing,medium,6.9,yes
2024-09-05,technical,low,29.5,yes
2024-10-24,billing,high,5.2,yes
2024-12-20,account,low,12.7,no
2024-07-06,billing,low,9.3,yes
2024-03-07,other,high,4.7,yes
2024-02-01,account,low,15.1,no
2024-12-22,account,low,14.6,yes
2024-07-06,technical,medium,34.6,yes
2024-11-14,account,low,13.0,yes
2024-10-14,billing,low,6.2,yes
2024-10-27,technical,high,40.4,yes
2024-06-07,technical,low,45.3,yes
2024-02-13,billing,low,4.4,no
2024-03-16,technical,medium,54.5,no
2024-08-06,other,medium,3.6,yes
2024-07-27,technical,high,41.1,yes
2024-02-14,billing,high,7.1,yes
2024-05-12,technical,low,48.9,no
2024-05-14,other,low,4.8,no
2024-09-10,billing,medium,7.1,yes
2024-04-18,technical,medium,70.8,yes
2024-07-18,account,medium,17.1,yes
2024-07-05,billing,medium,9.8,yes
2024-02-25,technical,medium,33.6,yes
2024-09-21,other,high,6.6,no
2024-02-27,billing,medium,4.9,yes
2024-02-10,technical,low,32.7,yes
2024-09-12,billing,low,8.9,no
2024-10-26,technical,medium,48.2,yes
2024-05-16,billing,medium,7.4,yes
2024-02-10,billing,medium,9.5,yes
2024-10-17,technical,high,48.6,yes
2024-10-20,technical,high,30.8,yes
2024-10-27,account,low,12.8,yes
2024-04-23,billing,high,8.0,yes
2024-02-07,billing,high,10.9,yes
2024-12-06,other,low,4.2,yes
2024-06-05,account,medium,13.4,no
2024-05-14,billing,low,7.8,yes
2024-06-17,billing,low,12.1,yes
2024-08-04,technical,low,17.8,yes
2024-01-10,technical,high,57.0,yes
2024-02-02,technical,low,38.4,yes
2024-06-21,billing,low,9.1,yes
2024-08-15,billing,low,5.1,yes
2024-10-17,billing,low,5.5,no
2024-09-24,billing,medium,7.5,yes
2024-04-10,other,high,6.1,yes
2024-09-02,billing,low,3.2,yes
2024-02-24,account,high,10.1,yes
2024-11-23,billing,low,7.1,no
2024-12-16,technical,low,38.5,yes
2024-02-11,other,low,7.0,yes
2024-05-07,billing,medium,8.6,no
2024-10-21,other,low,5.6,yes
2024-12-05,account,low,8.4,yes
2024-02-23,account,low,7.2,yes
2024-06-07,technical,low,41.0,yes
2024-02-20,billing,medium,10.9,no
2024-02-23,other,medium,6.0,yes
2024-06-22,other,low,7.4,yes
2024-12-26,billing,medium,5.8,yes
2024-04-21,technical,medium,49.2,no
2024-02-02,billing,low,7.6,yes
2024-02-08,account,medium,12.3,no
2024-07-09,billing,high,9.3,yes
2024-01-14,technical,medium,47.7,no
2024-08-13,account,medium,12.8,yes
2024-03-18,billing,high,8.8,yes
2024-09-04,billing,medium,8.7,yes
2024-10-05,billing,low,6.6,yes
2024-12-01,billing,low,7.4,yes
2024-04-22,billing,low,8.1,yes
2024-05-03,account,medium,16.9,no
2024-09-15,billing,low,5.7,no
2024-06-21,billing,high,8.2,yes
2024-02-08,account,low,15.0,no
2024-11-04,billing,high,9.4,yes
2024-03-10,technical,low,31.0,yes
2024-08-25,account,medium,pending,yes
2024-10-06,technical,medium,34.8,yes
2024-06-27,billing,high,8.6,yes
2024-03-13,other,low,7.2,yes
2024-05-18,other,low,5.7,yes
2024-12-04,technical,low,41.3,yes
2024-10-10,technical,medium,36.2,yes
2024-08-19,account,low,9.6,yes
2024-06-14,billing,low,10.4,yes
2024-08-08,billing,medium,11.5,no
2024-02-17,billing,medium,7.7,no
2024-12-06,billing,low,6.4,no
2024-12-13,other,medium,7.0,no
2024-02-05,billing,medium,5.1,no
2024-09-07,billing,low,5.4,yes
2024-01-14,account,low,12.5,no
2024-02-26,account,high,17.4,no
2024-03-11,other,low,5.5,no
2024-11-07,billing,medium,8.1,yes
2024-03-19,billing,medium,11.1,no
2024-09-16,technical,medium,28.6,yes
2024-09-20,technical,medium,24.8,yes
2024-07-17,billing,medium,12.3,yes
2024-12-24,technical,low,50.1,yes
2024-09-18,other,medium,5.4,yes
2024-07-27,billing,medium,9.1,yes
2024-08-01,account,medium,14.7,yes
2024-06-11,technical,low,37.6,yes
2024-10-04,other,low,9.8,yes
2024-09-10,account,low,7.2,yes
2024-01-01,billing,high,11.2,yes
2024-05-10,account,medium,13.2,no
2024-01-09,account,high,12.6,yes
2024-04-11,other,low,6.4,yes
2024-10-21,technical,medium,33.9,yes
2024-07-23,billing,high,7.7,yes
2024-08-07,other,low,5.3,yes
2024-04-20,billing,high,5.2,yes
2024-11-12,billing,low,9.2,yes
2024-05-17,billing,low,5.4,no
2024-05-04,technical,low,30.6,yes
2024-11-18,technical,low,59.3,no
2024-04-17,technical,medium,35.0,yes
2024-04-04,technical,low,55.3,yes
2024-11-08,account,low,16.0,yes
2024-05-02,other,low,pending,yes
2024-12-06,technical,low,55.5,no
2024-09-11,billing,low,6.9,yes
2024-10-18,billing,medium,6.3,yes
2024-04-12,account,high,10.6,no
2024-08-25,other,low,5.5,no
2024-11-27,technical,low,44.9,yes
2024-06-26,account,low,17.8,yes
2024-09-09,billing,medium,6.3,yes
2024-10-19,technical,medium,37.2,no
2024-01-11,billing,high,7.9,yes
2024-05-26,technical,high,42.6,no
2024-06-10,billing,medium,7.3,no
2024-11-18,technical,high,53.5,yes
2024-11-09,billing,medium,7.2,no
2024-08-13,technical,medium,30.6,yes
2024-03-25,billing,low,11.3,yes
2024-07-14,billing,medium,10.8,yes
2024-11-12,billing,medium,8.0,yes
2024-07-11,billing,high,6.2,no
2024-05-16,account,low,12.5,yes
2024-12-18,technical,medium,47.2,no
2024-08-27,billing,high,11.1,yes
2024-12-10,account,low,17.0,yes
2024-08-24,technical,low,37.3,yes
2024-02-07,technical,medium,41.0,no
2024-06-19,other,low,5.7,yes
2024-02-12,technical,low,40.8,yes
2024-03-04,account,low,10.7,no
2024-10-01,technical,low,36.7,yes
2024-06-24,billing,low,7.7,no
2024-04-21,billing,medium,8.3,yes
2024-07-23,account,medium,6.7,yes
2024-08-27,other,low,5.4,yes
2024-12-23,billing,medium,9.5,yes
2024-04-09,billing,medium,9.0,no
2024-03-15,technical,low,47.2,no
2024-06-09,account,medium,14.3,yes
2024-09-27,other,medium,6.8,no
2024-08-27,billing,high,10.1,yes
2024-10-18,other,low,6.1,yes
2024-10-09,other,low,4.2,yes
2024-02-20,other,high,7.9,yes
2024-05-13,billing,low,8.8,yes
2024-09-27,technical,low,23.3,yes
2024-05-02,billing,medium,9.7,yes
2024-09-02,account,low,14.4,no
2024-02-05,billing,low,5.5,yes
2024-12-10,account,medium,13.4,no
2024-04-13,billing,medium,8.0,yes
2024-05-24,billing,medium,8.8,yes
2024-04-12,billing,medium,6.9,yes
2024-06-17,billing,low,11.4,yes
2024-12-26,billing,low,6.2,yes
2024-10-05,billing,low,6.0,no
2024-04-03,account,medium,10.8,yes
2024-12-21,billing,low,7.9,yes
2024-04-09,account,medium,10.3,yes
2024-09-19,billing,low,11.0,yes
2024-02-13,billing,medium,6.0,yes
2024-02-01,account,low,18.9,no
2024-10-07,billing,medium,5.2,yes
2024-08-10,other,high,6.7,no
2024-04-03,billing,low,11.5,yes
2024-02-22,account,low,19.0,yes
2024-07-21,other,low,5.7,yes
2024-02-01,billing,medium,5.1,no
2024-09-08,billing,medium,6.6,no
2024-12-20,technical,low,35.1,yes
2024-06-14,account,high,14.1,yes
2024-04-20,other,medium,4.6,no
2024-07-06,billing,medium,9.9,yes
2024-12-10,account,medium,9.3,no
2024-04-05,other,medium,7.3,no
2024-11-04,billing,medium,13.1,no
2024-09-11,billing,high,9.6,yes
2024-04-01,billing,medium,10.5,yes
2024-09-14,other,medium,6.4,yes
2024-11-01,billing,medium,7.5,yes
2024-02-18,billing,low,9.2,yes
2024-06-06,account,low,14.1,no
2024-08-13,account,low,pending,no
2024-01-20,technical,medium,32.9,no
2024-05-04,other,low,9.2,no
2024-07-14,billing,medium,9.3,yes
2024-09-12,billing,medium,8.6,yes
2024-06-16,billing,medium,7.4,no
2024-04-11,billing,medium,7.4,yes
2024-06-15,billing,low,7.9,yes
2024-07-09,billing,medium,1.7,no
2024-06-22,account,high,17.4,yes
2024-04-14,billing,low,8.9,yes
2024-11-05,technical,low,32.8,yes
2024-11-14,technical,low,53.8,yes
2024-11-27,technical,medium,39.4,yes
2024-01-12,account,medium,16.4,yes
2024-12-19,technical,low,34.4,yes
2024-10-14,billing,low,9.8,yes
2024-11-18,other,low,3.6,no
2024-12-02,account,high,14.8,yes
2024-01-03,billing,high,5.1,yes
2024-08-14,technical,medium,40.7,yes
2024-05-13,billing,low,8.9,yes
2024-06-05,technical,high,24.4,no
2024-03-23,other,low,6.3,yes
2024-10-05,technical,medium,36.1,yes
2024-06-27,billing,low,8.4,no
2024-04-18,billing,low,10.1,yes
2024-09-10,other,high,6.1,no
2024-07-13,other,medium,8.0,yes
2024-08-02,technical,medium,32.4,yes
2024-05-01,other,low,4.7,yes
2024-01-26,billing,medium,10.0,no
2024-02-04,other,low,4.5,yes
2024-08-05,other,low,6.6,no
2024-07-04,account,low,9.6,yes
2024-05-03,technical,low,39.9,yes
2024-01-03,account,low,13.4,yes
2024-09-07,account,low,9.9,no
2024-01-15,technical,medium,33.6,yes
2024-06-18,technical,low,26.0,no
2024-07-25,other,high,7.3,yes
2024-05-03,technical,medium,31.4,yes
2024-09-06,billing,low,6.1,yes
2024-04-24,account,low,11.8,no
2024-08-11,account,medium,11.0,no
2024-11-12,billing,medium,6.4,yes
