total_bill,tip,sex,smoker,day,time,party_size
25.52,4.59,Male,no,Sat,Dinner,1
16.58,3.82,Female,yes,Fri,Lunch,4
21.27,3.8,Male,yes,Fri,Dinner,4
25.0,3.91,Female,no,Sat,Lunch,2
17.53,3.52,Female,yes,Sat,Dinner,2
23.65,3.74,Female,yes,Fri,Dinner,1
14.7,3.32,Female,no,Sun,Lunch,4
17.1,2.62,Male,no,Sun,Lunch,1
16.95,3.85,Male,no,Sat,Dinner,4
10.43,1.97,Female,yes,Sat,Lunch,3
23.9,4.57,Female,no,Thu,Dinner,3
16.24,3.92,Male,no,Sun,Dinner,5
20.1,3.83,Female,no,Fri,Lunch,4
23.85,4.56,Male,no,Sun,Dinner,5
23.57,4.74,Female,no,Sat,Dinner,5
25.32,5.85,Male,no,Thu,Dinner,6
19.21,3.43,Female,yes,Thu,Dinner,5
16.61,3.5,Male,yes,Sat,Lunch,4
19.36,3.39,Male,no,Sat,Lunch,3
6.5,1.28,Female,no,Thu,Dinner,2
8.42,1.26,Male,yes,Sat,Dinner,4
9.42,1.38,Male,no,Sun,Lunch,1
12.02,2.26,Female,no,Sat,Lunch,6
23.2,4.77,Male,no,Sat,Dinner,6
12.76,2.13,Male,no,Thu,Dinner,1
16.97,3.5,Male,no,Sat,Lunch,5
30.39,4.77,Female,no,Fri,Dinner,1
17.15,3.55,Female,yes,Sun,Dinner,5
25.9,4.3,Female,no,Fri,Dinner,1
12.53,2.08,Male,no,Sat,Lunch,3
18.36,3.89,Male,no,Fri,Lunch,4
12.4,2.77,Male,no,Thu,Dinner,5
17.29,3.35,Female,no,Sat,Dinner,3
26.72,6.23,Male,no,Sat,Dinner,6
6.18,1.33,Male,no,Sat,Dinner,5
23.48,5.04,Female,no,Sun,Dinner,2
21.9,4.56,Female,no,Sun,Dinner,5
15.25,3.11,Female,no,Sun,Dinner,5
8.43,1.44,Male,yes,Thu,Dinner,3
20.58,3.9,Female,no,Sat,Dinner,5
15.76,3.11,Female,no,Sun,Lunch,6
21.86,4.2,Male,yes,Fri,Dinner,5
20.17,4.21,Female,yes,Thu,Dinner,5
32.81,6.72,Female,no,Sun,Lunch,4
18.09,3.17,Male,no,Sat,Dinner,2
11.81,2.3,Female,no,Sat,Lunch,5
21.43,4.37,Female,yes,Sun,Lunch,3
21.76,4.63,Female,yes,Sat,Dinner,4
30.87,5.27,Female,yes,Sat,Lunch,2
26.68,4.29,Female,no,Fri,Dinner,2
22.85,3.95,Female,no,Sat,Dinner,1
31.71,7.16,Male,yes,Thu,Dinner,6
10.49,1.4,Female,no,Sat,Lunch,1
14.88,2.39,Female,yes,Sun,Lunch,1
12.59,2.86,Female,yes,Fri,Lunch,6
16.88,3.04,Male,yes,Fri,Lunch,4
8.99,1.71,Male,yes,Sun,Dinner,3
25.08,4.54,Female,no,Thu,Dinner,5
18.22,3.88,Female,no,Sat,Lunch,3
8.23,1.54,Female,yes,Sat,Dinner,1
11.88,2.43,Male,no,Sat,Dinner,5
22.51,4.08,Male,no,Thu,Lunch,2
26.71,4.0,Female,no,Sat,Lunch,4
35.97,7.15,Male,no,Fri,Dinner,6
43.31,9.36,Female,yes,Sat,Dinner,6
23.32,3.84,Male,no,Thu,Lunch,3
12.08,2.71,Male,yes,Sat,Dinner,5
3.0,0.71,Female,no,Sat,Dinner,4
22.14,3.6,Male,no,Fri,Dinner,3
13.5,1.96,Female,no,Thu,Lunch,1
16.68,3.18,Female,yes,Thu,Lunch,3
15.1,3.48,Female,no,Fri,Dinner,4
18.87,3.73,Male,no,Thu,Lunch,6
28.53,4.76,Male,no,Sun,Dinner,1
21.26,5.24,Female,no,Sat,Dinner,5
18.73,3.54,Male,no,Sun,Lunch,6
11.71,2.3,Male,no,Sun,Dinner,6
6.6,1.17,Male,yes,Thu,Dinner,3
16.11,2.44,Female,no,Sat,Dinner,1
19.57,3.72,Male,no,Sun,Dinner,2
34.14,7.74,Male,no,Sat,Dinner,6
21.04,3.92,Female,yes,Sat,Dinner,6
27.86,5.8,Male,yes,Sat,Dinner,4
16.01,2.41,Female,no,Thu,Dinner,1
10.52,1.97,Female,no,Sat,Dinner,1
12.28,2.13,Female,no,Sun,Lunch,3
14.2,2.63,Female,no,Sun,Lunch,4
37.03,6.4,Male,no,Thu,Lunch,1
13.43,3.03,Male,no,Sat,Dinner,5
26.71,5.53,Male,no,Fri,Dinner,4
12.78,1.64,Male,no,Sun,Dinner,1
27.45,4.74,Female,no,Thu,Dinner,1
23.08,3.82,Female,yes,Sun,Dinner,3
18.75,4.03,Female,no,Sun,Dinner,5
19.67,3.57,Female,yes,Thu,Lunch,5
14.76,2.88,Female,yes,Thu,Dinner,3
23.57,3.72,Male,no,Sun,Dinner,2
16.36,3.21,Male,no,Thu,Dinner,6
10.2,2.04,Female,yes,Sat,Lunch,3
9.78,1.75,Male,no,Sun,Dinner,2
21.38,3.71,Female,no,Sat,Dinner,3
32.63,6.23,Female,yes,Fri,Dinner,1
21.28,3.52,Female,yes,Sat,Dinner,2
19.05,3.78,Female,yes,Thu,Dinner,4
22.29,5.07,Female,no,Sun,Dinner,6
30.45,6.02,Female,no,Fri,Dinner,5
21.76,4.77,Female,yes,Thu,Dinner,5
16.71,3.13,Male,no,Fri,Dinner,4
28.85,4.44,Male,yes,Sun,Lunch,1
23.43,5.0,Female,no,Thu,Dinner,3
32.29,6.5,Female,no,Sun,Dinner,6
21.47,2.44,Female,yes,Sat,Lunch,1
10.2,2.59,Female,yes,Sun,Dinner,6
9.05,2.36,Female,no,Sun,Dinner,5
33.21,5.51,Female,no,Sun,Dinner,2
33.79,5.79,Female,no,Sun,Dinner,5
18.56,4.01,Male,no,Thu,Lunch,6
16.93,2.65,Male,yes,Sat,Dinner,1
31.69,5.01,Male,yes,Sat,Lunch,1
11.14,1.96,Male,no,Sat,Dinner,4
12.84,3.0,Female,yes,Sun,Dinner,6
25.15,4.34,Male,no,Sun,Dinner,1
16.84,2.83,Male,no,Sat,Lunch,4
19.96,3.51,Male,yes,Sat,Lunch,1
18.69,4.47,Female,no,Sat,Dinner,4
22.7,4.57,Female,yes,Fri,Dinner,4
31.26,4.85,Male,no,Fri,Dinner,1
20.72,4.29,Female,no,Fri,Lunch,5
25.15,5.89,Female,no,Thu,Lunch,6
3.6,0.67,Female,no,Thu,Dinner,6
19.61,3.24,Female,no,Sat,Lunch,1
13.25,2.2,Female,no,Sat,Dinner,2
10.25,2.16,Male,no,Sun,Dinner,2
12.97,2.37,Female,no,Sat,Lunch,3
17.33,3.39,Male,yes,Thu,Dinner,1
27.33,5.46,Male,no,Thu,Lunch,6
9.39,2.08,Female,no,Fri,Dinner,5
20.25,4.38,Female,yes,Sun,Dinner,5
16.13,2.53,Female,no,Fri,Dinner,2
17.38,2.88,Male,no,Sat,Lunch,1
28.02,6.9,Male,yes,Sun,Dinner,6
24.3,4.07,Male,no,Sun,Dinner,2
30.7,5.04,Female,no,Fri,Lunch,4
18.76,4.16,Female,no,Thu,Lunch,6
14.43,2.08,Female,no,Thu,Lunch,1
18.21,2.83,Female,no,Thu,Dinner,1
21.94,3.52,Male,no,Thu,Dinner,1
21.41,2.74,Male,yes,Sat,Dinner,1
11.32,1.47,Male,no,Sun,Dinner,1
20.72,4.55,Male,no,Sat,Dinner,5
21.83,4.09,Male,no,Sat,Dinner,4
40.14,6.85,Male,no,Fri,Dinner,6
35.01,7.9,Male,yes,Sun,Dinner,5
13.17,3.0,Female,no,Sat,Lunch,6
17.7,2.83,Male,yes,Sun,Dinner,2
8.29,1.22,Male,yes,Sun,Dinner,2
15.27,3.65,Male,no,Fri,Lunch,6
22.52,4.08,Male,yes,Thu,Dinner,2
29.65,6.22,Female,yes,Fri,Lunch,1
14.17,3.09,Male,yes,Sat,Dinner,5
14.77,3.22,Male,no,Sun,Dinner,5
3.0,0.66,Male,no,Fri,Dinner,6
18.7,4.46,Female,yes,Sat,Lunch,6
11.5,2.01,Female,no,Sat,Lunch,1
15.76,3.7,Male,no,Thu,Lunch,5
12.99,2.75,Male,yes,Fri,Lunch,6
19.25,3.87,Male,yes,Sat,Lunch,5
5.94,1.19,Male,no,Sat,Lunch,5
8.26,1.96,Female,no,Sat,Dinner,6
37.03,8.0,Female,no,Fri,Lunch,3
9.7,1.48,Female,no,Sat,Lunch,1
11.23,1.99,Male,yes,Thu,Dinner,3
34.7,6.26,Male,no,Sun,Dinner,2
43.24,6.79,Male,no,Thu,Dinner,1
10.63,1.92,Male,yes,Thu,Dinner,1
17.05,2.81,Female,no,Sat,Dinner,5
22.73,4.12,Male,no,Sat,Dinner,4
33.83,6.17,Male,no,Sat,Dinner,4
12.11,1.98,Female,no,Sat,Dinner,5
18.04,3.22,Male,no,Sun,Dinner,4
26.22,4.71,Male,yes,Sat,Lunch,4
23.48,3.71,Male,yes,Sat,Dinner,1
16.99,4.15,Male,no,Sat,Lunch,6
18.93,3.43,Male,yes,Thu,Dinner,3
9.0,1.27,Male,yes,Sat,Lunch,1
18.09,3.78,Male,yes,Fri,Lunch,5
17.87,4.13,Male,yes,Sat,Lunch,5
21.86,3.11,Male,no,Thu,Dinner,1
15.56,2.42,Female,no,Sun,Lunch,2
23.77,4.12,Male,no,Sat,Dinner,1
28.1,4.76,Female,yes,Sun,Dinner,2
21.24,3.72,Female,no,Sat,Lunch,1
22.81,4.78,Male,no,Thu,Dinner,5
20.43,4.33,Female,no,Sun,Lunch,4
20.0,4.03,Male,no,Sat,Lunch,6
14.23,2.98,Male,no,Sat,Dinner,5
22.53,4.37,Male,no,Sat,Dinner,4
19.22,3.34,Male,yes,Sat,Lunch,4
36.75,4.8,Male,yes,Sun,Dinner,1
32.59,5.73,Male,no,Sat,Lunch,1
23.09,4.41,Female,yes,Fri,Dinner,4
13.9,1.97,Male,no,Sat,Dinner,1
11.1,1.78,Female,no,Sat,Dinner,1
29.53,5.8,Female,no,Sun,Dinner,2
22.1,3.9,Female,no,Fri,Lunch,6
23.84,3.72,Male,no,Sat,Dinner,3
6.04,1.16,Female,yes,Sun,Dinner,5
27.42,5.9,Female,yes,Sat,Dinner,3
23.64,4.25,Female,no,Sat,Lunch,2
11.12,2.24,Male,no,Sat,Dinner,3
16.23,2.26,Female,yes,Fri,Dinner,1
22.11,4.15,Female,no,Sat,Lunch,5
20.42,3.74,Male,no,Thu,Lunch,2
17.66,3.31,Male,no,Thu,Dinner,3
19.17,4.47,Male,no,Sat,Dinner,6
17.98,3.49,Female,no,Sat,Lunch,4
21.22,4.06,Male,yes,Sun,Dinner,3
31.77,6.39,Male,no,Fri,Dinner,4
3.0,0.68,Female,yes,Thu,Dinner,5
18.11,3.44,Male,no,Sun,Dinner,2
21.41,3.55,Male,no,Thu,Dinner,4
22.37,3.96,Female,yes,Thu,Dinner,6
17.02,3.71,Female,yes,Fri,Dinner,4
5.95,1.25,Female,yes,Sat,Dinner,3
22.62,3.2,Female,no,Sun,Dinner,1
